id,reference,generated,rouge1,rouge2,rougeL,relevance,completeness,faithfulness,coherence,conciseness,fluency,avg_score
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","Donald Trump posted a photo claiming he wrote his inaugural address, which delivered a populist message focused on transferring power from Washington D.C. back to the American people. The speech reiterated his campaign themes, emphasizing that citizens long ignored by the ""coastal elite"" would now be heard. While some on social media noted an eerie similarity to a Batman villain's speech, commentators stressed the deep resonance of this ""I will never ignore you"" rhetoric with Trump's supporters.",25.24,3.96,15.53,3.0,3.0,1.0,5.0,3.0,5.0,3.33
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Welsh Minister Eluned Morgan asserted there is ""no prospect"" of the Welsh NHS being included in UK-US trade negotiations, despite President Trump's initial comments. However, she conceded it would be ""difficult to stop"" legally as the Welsh Government lacks a veto over trade deals. Labour AM Alun Davies criticized this position, stating the Welsh Government would likely ""not have a leg to stand on"" in trying to shape international trade agreements post-Brexit.",38.46,15.69,19.23,2.0,1.0,1.0,4.0,3.0,5.0,2.67
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia (UEA) accidentally sent an email containing sensitive personal details, including health problems and family bereavements, of 298 students to nearly 300 undergraduates. Students like Megan Baynes expressed feeling ""sick and horrified"" that their private circumstances, which led to academic concessions, were shared. The UEA has ""unreservedly"" apologised and launched an inquiry into what the Students' Union called a ""shocking and utterly unacceptable data breach.""",25.29,2.35,13.79,4.0,5.0,1.0,5.0,4.0,5.0,4.0
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","A new report reveals a persistent gender imbalance in A-level physics, with only 1.9% of girls choosing the subject in 2016 compared to 6.5% of boys, and 44% of schools sending no girls at all. The Institute of Physics (IoP) emphasizes there are no intrinsic differences in ability, but this disparity limits girls' access to rewarding careers in essential fields like AI and aerospace. To address this, the IoP is hosting a summit and making recommendations to close the gender gap in physics uptake.",27.03,9.17,16.22,3.0,2.0,1.0,5.0,4.0,5.0,3.33
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","John Allan, chairman of Tesco and Barrett, expressed his personal frustration with UK politicians' inability to agree on Brexit, contrasting it with the solidarity shown by 27 European countries. He stated that if politicians cannot reach a settlement, his personal view is that a second referendum is the only other option to break the current impasse. Allan urged MPs to put aside prejudices, erase red lines, and prioritize the national interest over party or personal gain to find a resolution.",29.09,11.11,21.82,3.0,5.0,2.0,5.0,2.0,5.0,3.67
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","Footage from Berlin D2 showed a man pouring drinks into patrons' mouths from atop the bar, violating COVID-19 guidelines that require people to be seated in such venues. Health Minister Stephen Donnelly condemned these ""reckless actions,"" stating people are ""rightly sickened"" and that such behavior undermines public solidarity. While restaurateur Jay Bourke was ""mortified,"" he claimed CCTV showed compliance for most of the event, which was a ticketed brunch operating at under 20% capacity.",21.05,2.15,10.53,4.0,5.0,1.0,4.0,3.0,5.0,3.67
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry sparked controversy by tweeting a picture of a house adorned with English flags while campaigning in Rochester, with minimal description. The tweet was quickly seized upon by critics, including Conservative politicians, who accused her of ""sneering"" at patriotic working-class people and highlighted perceptions of Labour being out of touch. Thornberry later clarified she found the flag-covered house ""remarkable"" and unique, but the incident provided a ""free hit"" for her political opponents.",22.22,7.55,12.96,3.0,2.0,2.0,5.0,4.0,5.0,3.5
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"Emergency services responded to a fire in a static caravan in the East Mains of Pitfour area near Mintlaw shortly after 07:00 on Wednesday. Firefighters extinguished the blaze, and the body of a 77-year-old man was discovered inside. Police Scotland is conducting ongoing inquiries to establish the full circumstances, and a report will be submitted to the procurator fiscal.",26.32,10.81,15.79,4.0,5.0,2.0,5.0,3.0,5.0,4.0
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Lewis Williams, 20, died on January 11 from a shotgun wound suffered in Mexborough. Two teenagers, aged 16 and 17, have been charged with his murder and are due to appear in court on February 1. South Yorkshire Police recently arrested two more men, aged 20 and 49, bringing the total number of arrests in connection with his death to eight, with four others released on bail.",22.78,12.99,17.72,4.0,3.0,1.0,5.0,3.0,5.0,3.5
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor Brian Blessed has successfully secured enough nominations through a Facebook campaign to challenge supermarket heir Lord Sainsbury for the prestigious role of Chancellor of Cambridge University. This election, also featuring local shopkeeper Abdul Arain, transforms what was expected to be a straightforward handover into a competitive race. Blessed, known for his booming voice and mountaineering achievements, expressed his enthusiasm for the role, while his supporters believe he would bring a unique and vibrant presence to the university.",21.74,13.33,19.57,3.0,5.0,1.0,5.0,3.0,5.0,3.67
