id,reference,generated,rouge1,rouge2,rougeL,relevance,completeness,faithfulness,coherence,conciseness,fluency,avg_score
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","Ahead of his 2017 inauguration, Donald Trump shared a photo of himself drafting his inaugural address, which focused on his signature populist theme of returning power from Washington elites to the American people. While some critics mocked the speech for its perceived similarities to a villainous monologue from *The Dark Knight Rises*, supporters argued that the rhetoric effectively addressed the grievances of those who felt ignored by the political establishment. Ultimately, the address served to reinforce the core message of Trump's campaign by promising to end what he described as ""American carnage.""",20.69,3.51,12.07,3.0,2.0,1.0,4.0,2.0,5.0,2.83
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Welsh minister Eluned Morgan stated that while the Welsh government opposes including the NHS in future UK-US trade deals, they lack the legal veto power to formally stop it. Despite her insistence that such a move is politically unlikely, her admission sparked criticism from fellow Labour AM Alun Davies, who questioned the government's ability to influence international negotiations. Officials are currently working on a formal ""concordat"" to ensure the Welsh government is consulted on future trade agreements.",35.19,7.55,22.22,3.0,2.0,1.0,4.0,3.0,5.0,3.0
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia has launched an inquiry after accidentally emailing a spreadsheet containing the private health and personal details of 42 students to nearly 300 undergraduates. Affected students expressed shock and distress over the breach, which exposed sensitive information regarding academic concessions and personal circumstances. The university has issued an unreserved apology, while student union representatives have condemned the incident as a ""shocking and utterly unacceptable"" failure.",27.59,2.35,18.39,5.0,5.0,1.0,5.0,3.0,5.0,4.0
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","Despite a slight increase in participation, the gender gap in A-level physics remains significant, with only 20% of students being female and many schools sending no girls to the course at all. The Institute of Physics emphasizes that there is no biological basis for this disparity, noting that these choices unnecessarily limit girls' future career opportunities in technical fields. To address this, the organization is hosting a summit to develop strategies for closing the gender gap and overcoming persistent stereotypes in the classroom.",24.07,9.43,14.81,3.0,4.0,1.0,5.0,3.0,5.0,3.5
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","CBI president John Allan has criticized UK politicians for their inability to reach a Brexit agreement, suggesting they should emulate the solidarity shown by the 27 EU member states. Expressing his personal view, Allan argued that a second referendum may be the only solution if Parliament remains deadlocked. He further urged politicians to abandon party interests and ""red lines"" in favor of prioritizing the national interest to resolve the current impasse.",29.7,2.02,19.8,5.0,4.0,3.0,5.0,4.0,5.0,4.33
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","A video showing a man pouring drinks into customers' mouths at Berlin D2 in Dublin has sparked public outrage for violating COVID-19 safety guidelines. While Health Minister Stephen Donnelly condemned the behavior as reckless and damaging to the collective effort against the virus, the venue's operator, Jay Bourke, expressed regret while claiming the footage did not fully represent the event. Bourke maintained that the establishment was operating at low capacity and that patrons were largely compliant with health measures throughout the rest of the brunch.",22.43,3.81,9.35,3.0,4.0,1.0,5.0,3.0,5.0,3.5
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry faced intense backlash after tweeting a photo of a house covered in St George’s Cross flags while campaigning in Rochester. Critics, including David Cameron, accused her of ""sneering"" at working-class patriotism, fueling perceptions that the Labour Party is disconnected from ordinary voters. Thornberry defended the post by claiming she was simply struck by the unusual sight of the house, but the incident quickly became a significant political controversy.",22.86,7.77,17.14,3.0,2.0,1.0,5.0,4.0,5.0,3.33
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"A 77-year-old man died after a fire broke out in a static caravan near Mintlaw on Wednesday morning. Emergency services extinguished the blaze, but the man was discovered deceased inside the property. Police Scotland and the Scottish Fire and Rescue Service are currently investigating the circumstances surrounding the incident.",24.62,3.17,18.46,4.0,5.0,1.0,5.0,4.0,5.0,4.0
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Two men have been arrested in connection with the fatal shooting of 20-year-old Lewis Williams in Mexborough, bringing the total number of arrests in the case to eight. While two teenagers have already been charged with murder, the two latest suspects remain in custody on suspicion of murder and assisting an offender. Four other individuals previously arrested in the investigation have been released on bail.",22.78,15.58,22.78,4.0,5.0,1.0,5.0,4.0,5.0,4.0
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor Brian Blessed has officially entered the race for Chancellor of the University of Cambridge after a successful student-led Facebook campaign secured his nomination. He will compete against the university's preferred candidate, Lord Sainsbury, and local shopkeeper Abdul Arain for the position currently held by the retiring Duke of Edinburgh. The election has evolved into a competitive contest, as candidates must now vie for the support of the university senate to succeed the outgoing chancellor.",24.18,13.48,21.98,3.0,5.0,1.0,4.0,2.0,5.0,3.33
