id,reference,generated,rouge1,rouge2,rougeL,relevance,completeness,faithfulness,coherence,conciseness,fluency,avg_score
world-us-canada-38697908,"Donald Trump campaigned on becoming a president unlike any Washington has ever seen. With his inauguration speech, he's already set the tone.","Donald Trump’s inaugural address reiterated his populist message that power should be returned from Washington to ordinary Americans, portraying the country as plagued by economic decline, crime and political neglect. The unusually bleak, angry speech resonated with supporters but drew criticism and skepticism over whether Trump could deliver on his sweeping promises while governing from Washington.",25.0,2.56,12.5,4.0,3.0,1.0,5.0,5.0,5.0,3.83
uk-wales-politics-48586353,"The Welsh Government ""would probably"" take the UK government to court if it struck an international trade deal that tried to ""trample on"" the Welsh NHS, a minister said.","Welsh minister Eluned Morgan said the Welsh Government could not legally prevent the UK from including the NHS in a future US trade deal because it has no veto, though she considered it politically unlikely. Labour AM Alun Davies criticised the government’s reliance on possible legal action, while Morgan acknowledged that the UK’s intergovernmental arrangements were inadequate and needed reform.",37.36,8.99,19.78,3.0,2.0,1.0,4.0,4.0,5.0,3.17
uk-england-norfolk-40306087,A university has mistakenly emailed hundreds of students intimate and sensitive personal information about dozens of fellow undergraduates.,"The University of East Anglia mistakenly emailed 298 American Studies students a spreadsheet containing the names and sensitive health and personal details of 42 students granted academic concessions. UEA apologised, launched an urgent investigation, offered support to affected students and notified the Information Commissioner’s Office.",34.38,6.45,25.0,5.0,5.0,1.0,5.0,5.0,5.0,4.33
science-environment-44141840,"Some progress has been made in encouraging girls to study physics at A-level, according to a report by the Institute of Physics (IoP).","The Institute of Physics reported that only 1.9% of girls in England chose A-level physics in 2016, compared with 6.5% of boys, with 44% of schools sending no girls to study it. It attributed the persistent gender gap to stereotypes and lack of visibility rather than differences in ability, warning that it limits girls’ career opportunities and contributes to skills shortages in fields such as aerospace and artificial intelligence.",27.08,12.77,12.5,2.0,1.0,1.0,4.0,3.0,5.0,2.67
business-47891982,"The president of business organisation, the CBI, has said if politicians cannot ""get their act together"" on Brexit, then the only other option is to ""go back to the people"".","CBI chairman John Allan said politicians must overcome party divisions to resolve the Brexit impasse, adding that a second referendum could be necessary if they fail to agree. He called the withdrawal agreement non-negotiable and listed compromise, no deal, or revoking Article 50 as the remaining options, while business groups urged leaders to use the extension to prevent further economic damage and eliminate the risk of no deal.",28.28,0.0,18.18,3.0,3.0,1.0,4.0,2.0,5.0,3.0
world-europe-53801230,"Ireland's health minister has condemned ""reckless scenes"" at a venue in Dublin which appeared to breach social distancing regulations.","A video showing patrons disregarding Covid-19 restrictions at Berlin D2 in Dublin, including a man pouring drinks into people’s mouths, has drawn widespread condemnation. The venue’s management said it was “absolutely mortified” and closed the premises pending an investigation, while officials warned the incident could worsen the spread of the virus amid rising cases and multiple outbreaks in Ireland.",21.95,2.5,12.2,3.0,4.0,1.0,4.0,3.0,5.0,3.33
uk-politics-30142579,"One tweeted picture saw Labour MP Emily Thornberry go from the shadow cabinet to the butt of a twitterstorm, jokes and resignation. Here's how events unfolded, driven by social media.","Labour MP Emily Thornberry faced intense criticism after tweeting a picture of a house covered in St George’s flags, prompting accusations that she was sneering at working-class patriotism. Amid attacks from Conservatives, Labour MPs and the media, and reports that Ed Miliband was furious, Thornberry resigned from the shadow cabinet after the Rochester by-election polls closed.",40.0,15.91,22.22,4.0,4.0,2.0,5.0,4.0,5.0,4.0
uk-scotland-north-east-orkney-shetland-55564441,The body of a man has been found after a caravan fire in Aberdeenshire.,"A 77-year-old man was found dead inside a static caravan after a fire near Mintlaw in Aberdeenshire shortly after 07:00 on Wednesday. The Scottish Fire and Rescue Service extinguished the blaze, and Police Scotland inquiries are ongoing; a report will be submitted to the procurator fiscal.",31.75,6.56,25.4,4.0,5.0,2.0,5.0,5.0,5.0,4.33
uk-england-south-yorkshire-55768636,Two more people have been arrested in connection with a fatal shooting.,"Two boys, aged 16 and 17, have been charged with murdering 20-year-old Lewis Williams, who died after being shot in Mexborough on 11 January. South Yorkshire Police have arrested six others, including two men detained on suspicion of murder and related offences, while four have been released on bail.",19.05,3.28,12.7,3.0,2.0,1.0,4.0,3.0,5.0,3.0
uk-england-cambridgeshire-13640487,Actor Brian Blessed has announced he will stand for the chancellorship of Cambridge University.,"Actor and mountaineer Brian Blessed has secured the 50 nominations needed to challenge supermarket heir Lord Sainsbury in Cambridge University’s chancellor election, after a student-led Facebook campaign. Local shopkeeper Abdul Arain is also seeking nominations, while the winner will succeed the retiring Duke of Edinburgh as the university’s lifelong constitutional head.",26.47,9.09,23.53,3.0,5.0,1.0,5.0,3.0,5.0,3.67
entertainment-arts-26706229,The BBC is to feature more arts stories in programmes like The One Show in a bid to make the subject less elitist.,"BBC director general Tony Hall will announce new arts commissions, including a modern, digitally enhanced revival of the landmark 1969 series *Civilisation*, in collaboration with the Tate. He will stress the need to engage young people with the arts and expand arts coverage across popular BBC programmes, following a 20% increase in arts funding.",25.97,0.0,15.58,3.0,4.0,1.0,5.0,4.0,5.0,3.67
education-56213402,"Poorer students in England are up to three A-level grades behind more affluent students, research suggests.","The Education Policy Institute found that disadvantaged students in England start post-16 education behind wealthier peers and fall further behind, averaging a gap equivalent to three A-level grades and up to five in some areas. It attributed the disparity largely to lower GCSE results and disadvantaged students taking fewer or lower-level qualifications, warning the pandemic could worsen the gap and calling for increased funding and targeted support.",25.29,16.47,20.69,3.0,2.0,1.0,5.0,4.0,5.0,3.33
